Loan ID,Customer ID,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
b0b9fd49-1cd2-48d5-b996-e110b89950ca,ccccb32d-9552-4d37-874b-a0c7af557067,525624,Short Term,747,3499192,2 years,Rent,Debt Consolidation,40532.32,12.2,40,13,0,425410,523446,0,0
6570491e-08f7-45f6-9084-9d07348a1d82,04ae6856-2349-49ef-99fc-23fb11e43639,220704,Short Term,,,1 year,Home Mortgage,Debt Consolidation,6914.86,15.4,16,6,0,199177,295680,0,0
a2e0f2a6-a430-4da1-a712-3fb802fc1d84,9c1401f9-c666-42ef-9d8f-9650216bf149,260590,Long Term,,,< 1 year,Home Mortgage,Debt Consolidation,20317.84,18.7,24,17,0,268945,737946,0,0
76d1c94c-e3f3-47df-abef-e8d4f602f1ab,8ce0f1a6-f63c-40e8-8257-1ef0f89bbb6e,279246,Short Term,724,981673,< 1 year,Rent,Debt Consolidation,2887.81,14.4,,8,0,83866,216260,0,0
a35bff39-df54-470f-ba05-16f1f2569f16,efee98c1-47c7-4368-bc61-154fabb487dd,779086,Short Term,,,10+ years,Rent,Debt Consolidation,28355.79,16.8,,20,0,627285,1265396,0,0
362c7340-cc48-45a6-976d-324210e970af,139e12b1-830c-4c3f-a553-c023c0f77818,186032,Short Term,713,446899,< 1 year,Home Mortgage,Debt Consolidation,6852.16,13,15,9,0,84227,385440,0,0
b048f283-0502-4024-9083-9b5e5a60d128,8d5f82ef-62cb-41b1-8026-82c6cd5ac0b1,380182,Short Term,721,922659,7 years,Rent,Debt Consolidation,17884.32,14.1,33,7,0,270978,393206,0,0
2f8e1a35-485b-4a28-9417-e91f5a8be739,27c643da-0cef-4b27-9504-bab3d1f2a21a,257906,Short Term,748,965181,10+ years,Home Mortgage,Debt Consolidation,7866.19,21.5,26,7,0,94449,253748,0,0
3d13522b-9d66-49da-b5b8-98b9e39e6c62,16833f2d-be79-408b-b82d-2a8f07e6908d,215996,Short Term,,,2 years,Rent,Debt Consolidation,9900.9,8.2,,16,0,245100,464486,0,0
e0c1fa65-4360-48ce-8733-89a5ffbace3c,7dcf7cf4-e2fd-4b6a-ab44-30eef8b34818,99999999,Short Term,729,581913,1 year,Rent,Debt Consolidation,7516.4,19.9,,8,2,34903,288618,2,0
bfe0e740-65cd-4b9b-a3a6-988670b5f9c9,8635a024-a789-41b6-a6cb-92179683a094,78452,Long Term,,,5 years,Home Mortgage,major_purchase,6541.51,20.6,,8,0,148485,682264,0,0
f4d47bf2-8949-418b-b93a-774ac5aabc69,bbbf1fae-b1e0-4d10-a029-8d3c35cd9cf5,297484,Short Term,746,1983638,2 years,Rent,Debt Consolidation,39507.27,23,38,22,0,234916,592636,0,0
305c4f71-2c19-4112-944c-e72e22b7282e,cd4776a0-b61c-4e58-8fa5-2191da4a3573,486552,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,28208.54,26.1,25,13,0,369987,738628,0,0
427b75ef-8ff9-4c90-8768-a1d969d85c9e,675d540f-7f1d-4f1c-9927-921331d89147,287034,Long Term,711,1716156,10+ years,Home Mortgage,Debt Consolidation,15159.34,33.5,1,12,2,132829,401566,1,0
f4c7d073-6872-472e-805c-c1934902dd31,a7fe63d2-19a2-4319-9c31-5575aa9f0374,139150,Short Term,710,2394000,3 years,Rent,Debt Consolidation,59052,18,40,14,1,56981,115742,1,0
30b02394-45f6-4bdf-b6e3-bcf01eff0dac,656e43f1-475b-4fca-a3d2-b8b20d84cfd2,610324,Long Term,,,4 years,Home Mortgage,Debt Consolidation,14231.57,5.5,,9,0,663176,1183204,0,0
1283a43d-1808-4c39-b79d-feb5a19f16ca,2524788b-8928-442c-bad0-270a1a5e8b8b,120450,Short Term,,,2 years,Rent,Debt Consolidation,14563.5,34,,10,0,233320,365596,0,0
fd474aad-4893-4e87-9cb6-df89a9c7ec05,ef58ee2f-555b-4c59-90a1-b6cc45b87f82,99999999,Short Term,751,1870170,6 years,Home Mortgage,Debt Consolidation,12576.86,14.2,,23,0,129048,1800216,0,0
1596dd1e-d8ba-45eb-b4a8-ee75736b66b6,e76ee11d-6163-4b7f-ae32-11655db9f67e,47894,Short Term,688,130150,,Own Home,Other,2971.41,21.3,,3,0,100510,191730,0,0
843e58c0-7ad4-4dec-8c19-7d47a11a4fce,dbb7916f-d4d6-4ecc-80b0-e602975309c8,228118,Short Term,725,648983,1 year,Home Mortgage,Debt Consolidation,9842.76,21.3,,8,0,177897,311146,0,0
fea0a33e-504a-4d64-be74-8502cb37872f,1132bbc0-3d7b-4996-972c-4ecf58a14c19,453640,Long Term,710,1455172,< 1 year,Home Mortgage,other,31650.01,20,,6,0,245195,300124,0,0
b38adcf2-3522-4fc2-a4fe-af7882fa8cb0,dc992712-194c-4fca-b0d8-20143903a068,414546,Long Term,702,1361198,3 years,Home Mortgage,Debt Consolidation,13611.98,19.6,,14,0,303848,580558,0,0
206c7b26-db44-4c00-a637-3fcb931b3138,8823b7a8-9c0b-4f2d-a1dc-ffcb37ee4efb,311872,Long Term,680,1063810,6 years,Home Mortgage,Debt Consolidation,28191.06,12.2,,10,0,391723,591338,0,0
ca5355ef-71ad-498a-9b13-a2a2d0f8d9d1,2426c54f-c8a0-445c-a778-161af618e8ad,140118,Short Term,742,425942,8 years,Own Home,Debt Consolidation,6460.19,19.7,,5,0,309852,553674,0,0
135ffb43-b6ce-468b-ba14-e7a1451ff0d8,1bede785-1c13-4e0f-b488-35adc8f49111,492800,Long Term,669,1257477,10+ years,Rent,Debt Consolidation,18233.35,9.7,,14,1,210197,534908,1,0
59721d46-60bc-471a-afef-fd5e7ce92c5e,d31aeb85-b8ff-4148-ada7-c754624f0d60,216106,Short Term,,,10+ years,Home Mortgage,Home Improvements,11752.64,21.6,15,10,0,59204,93654,0,0
73795f7c-efc8-42ae-93fd-240d63f8694d,7ca2af8c-725f-4a5d-9952-ab4ff0d331ca,458282,Long Term,699,1583194,3 years,Home Mortgage,Debt Consolidation,22560.41,20.5,,20,0,359062,629948,0,0
b6d13586-1d05-412e-934f-da9124344f3f,cd03e5b0-47af-4976-b449-a600446413d5,306152,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,23835.12,16.5,5,13,1,227164,429110,0,1
57a4f828-621e-40cf-8b47-e2a511c4d324,10c15429-4aec-4941-b0bb-97fc49a0960c,239536,Short Term,751,2162713,2 years,Home Mortgage,Debt Consolidation,38027.55,17.1,,19,0,364762,2760516,0,0
9147aed1-49e1-44bf-a763-7672c6c7c4a2,6bc984ce-4d7f-4247-9409-357e27494594,374594,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,19288.61,19.4,6,14,0,352906,692582,0,0
14ae288a-1ab7-44b6-b979-d1c4a95efd9a,ed88b6be-9305-4dcd-af58-6b1dad906696,297990,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,23219.52,30.1,,15,0,648261,1108734,0,0
fde6569e-6c77-4a7c-b48f-4497027867a3,f6b98985-ff50-4880-b3cd-687693b376a7,69190,Short Term,693,1242790,10+ years,Home Mortgage,Debt Consolidation,17916.62,23.5,48,10,1,152551,236786,1,0
cb0f4202-d7ef-4c2f-a38a-a0c505477376,b56e1d2d-921d-4816-ab00-d6b9ac0d8f06,762388,Long Term,,,5 years,Home Mortgage,Debt Consolidation,25809.98,15,,19,0,377131,859584,0,0
7468fbe7-a711-4990-aebd-56e2a2d96546,a85345be-2f9b-4bf4-9032-2a984e86a9e0,67430,Short Term,737,543438,< 1 year,Rent,Debt Consolidation,3260.59,18.2,10,14,0,63897,249084,0,0
15b6288b-6cc7-46ab-a05f-07a66de90594,679f6365-5aa2-4833-90a3-93e949fd436d,99999999,Short Term,742,2406825,4 years,Home Mortgage,Debt Consolidation,22463.7,13.6,,10,1,580963,1067792,1,0
0aabf3a8-c5b1-4a20-83c9-d784e383f3b2,5bad0b2e-1d08-4c4e-a500-ed587007bf71,128942,Short Term,706,842517,< 1 year,Rent,Debt Consolidation,10320.8,15,36,6,0,120156,148324,0,0
1f057dea-3f47-4e27-876d-d1fc4f96440a,3dfc2cdc-3dde-4c44-8604-519147cd502e,701536,Long Term,710,3022729,3 years,Home Mortgage,Debt Consolidation,73553.18,15.9,,18,0,1402979,2495394,0,0
c9fea76b-bd98-40b5-b2e7-d91fa794e1f3,d06816c9-6847-43a8-b817-d445201324d1,302786,Short Term,748,784510,10+ years,Rent,Debt Consolidation,3641.54,15.2,33,10,0,122303,400048,0,0
f84b54ad-3e69-49c5-b8b0-b862f4e944a5,3c9eeb97-aa75-4499-b2f8-ab0a5d7c4173,214720,Short Term,,,10+ years,Rent,Debt Consolidation,12016.55,18.2,,18,0,311562,405790,0,0
3a1a153d-c3ef-4f57-b096-7a933f4ae359,9848c8f9-3c9c-4dd3-bcfe-48bc7f2e69e0,75306,Short Term,673,1115034,10+ years,Rent,other,22486.5,12.1,,12,0,198227,256168,0,0
01be1601-9298-41a7-86b0-d2f0a239b3c5,463c4ebd-9ea8-4550-910e-bbfcab1e49bb,65538,Short Term,694,566067,< 1 year,Rent,Debt Consolidation,10283.56,8.7,,8,0,107065,214104,0,0
6da01200-bd76-4350-bfe2-5806939f7fef,0df888d3-f37f-4f68-80e5-2f9cdde5de10,199958,Short Term,709,929879,6 years,Home Mortgage,Debt Consolidation,17900.28,15.3,79,11,1,93290,257202,1,0
dae1135a-4743-4330-8b70-8a603508af84,8c03a2b9-6994-4bcb-82d9-2875298c99bb,602998,Long Term,688,1315807,10+ years,Home Mortgage,other,17763.48,24.4,,8,0,737941,1252900,0,0
b1081793-b9fd-421c-b0dc-5a2dec01ec80,6d89ca0b-d2bb-4957-b004-1bca5242e76e,346478,Short Term,6980,831307,2 years,Rent,Debt Consolidation,13093.09,13.3,48,6,0,26847,167112,0,0
c09426da-b2a6-4017-b888-1797c31b3622,71bce989-7fae-463b-8fc9-43659852ada0,357742,Long Term,714,1351679,10+ years,Home Mortgage,Home Improvements,27146.25,17.3,,13,0,198360,446864,0,0
6f48c4bd-d93e-4dbe-a97b-13a43d1237af,8d375b95-4ce3-4cc6-9761-cedafb8f07a0,448294,Short Term,706,868946,5 years,Rent,Debt Consolidation,12382.3,17.5,35,7,0,145502,167640,0,0
448eb3ff-7659-43f3-bd97-c39014b64129,1f224896-d15e-472b-8531-1df8ac28fb26,409046,Long Term,728,793155,< 1 year,Rent,Debt Consolidation,7336.66,12.9,,5,0,192508,304106,0,0
3113855b-d2a8-4a43-8d92-637a48e65fa9,814d00b5-45f7-4018-ac89-1b1c75ca0ba2,135168,Short Term,744,1795291,2 years,Home Mortgage,other,12058.16,23.7,56,11,0,34409,123772,0,0
4e2cdfc6-7075-420d-9d33-b411df3a423a,d3e211f8-401d-415d-853b-f7140ec50caf,99999999,Short Term,727,1568279,8 years,Home Mortgage,Home Improvements,16989.61,24,,5,1,15333,65780,1,0
98038ced-8bad-4c5b-a933-f1b0354f3e06,1425964c-75ce-4edd-ba6e-9a43c3d805e3,399366,Long Term,624,959405,2 years,Rent,Debt Consolidation,8954.51,10.8,50,11,0,324311,550616,0,0
8bcf3297-9a72-415b-aec1-70ce765bda41,bac6d888-4713-4baa-a6d5-6287ac8cdf68,266750,Short Term,,,7 years,Rent,Debt Consolidation,25667.1,14.8,71,8,0,204839,317944,0,0
019c8cbf-41bb-4256-9879-3da3ffd33d31,33d174d4-df72-498a-ab8b-61e6e16486de,216150,Short Term,740,1736087,3 years,Home Mortgage,Debt Consolidation,21701.04,18.3,69,8,0,106400,147026,0,0
b4d0534f-05a7-4caa-8d72-9031a2697365,dbb6919d-2583-4acd-b948-6df6b2d316e6,494802,Short Term,738,1126567,2 years,Rent,Debt Consolidation,7979.81,16.2,,11,0,426284,1905794,0,0
1599a513-e184-436b-a1eb-5a39898921c0,3577f071-c529-4a93-8607-1fe39e834133,112618,Short Term,724,762888,10+ years,Rent,Debt Consolidation,11888.3,12.7,33,16,0,156579,389070,0,0
4e553000-c11a-42a7-bc44-f79a5e2654ee,5f569bfb-bcef-47de-a2a1-6d71e32e8e9c,99999999,Long Term,679,478477,10+ years,Own Home,Debt Consolidation,7894.69,12.5,20,7,0,225758,514580,0,0
20372c99-1d67-480d-be60-b2537b81a294,01ea4762-3621-45c1-a3c6-cd2b0226cdc8,432036,Long Term,725,1476927,10+ years,Rent,Debt Consolidation,22153.81,18,5,7,0,226784,267674,0,0
ad4abb57-8bd8-4828-95e2-5f341194b9c0,31b71d94-f1a9-4a1c-9b02-d40578402931,265188,Short Term,712,988874,10+ years,Rent,Debt Consolidation,13596.97,17,,19,0,292353,459932,0,0
ce03dee1-750e-49ee-bba6-1a1aae35164c,1f66303a-2093-4a6c-8a49-34346c923897,171908,Short Term,,,7 years,Home Mortgage,Debt Consolidation,15866.52,13.7,11,13,0,104500,144056,0,0
1813b076-aebd-43aa-adac-d46e240f8e3f,8c0fde27-d3be-492f-bf1b-0dd4874276d5,661496,Long Term,649,4784675,4 years,Home Mortgage,Debt Consolidation,35885.11,20.5,34,9,0,106742,332222,0,0
31eecec2-34d0-441f-a051-c7537dc15894,b70d2ff9-3fff-40cc-970a-a8ac254e695b,220770,Long Term,740,1029591,10+ years,Rent,Debt Consolidation,18112.13,18.5,35,6,0,258096,412786,0,0
7ea2512f-4e13-4a7d-880e-3aceed34679a,bdf29425-c01a-49a2-9acf-be37ef6e02cb,196878,Short Term,735,1039053,1 year,Home Mortgage,Debt Consolidation,19828.4,10.4,,18,0,410343,664532,0,0
cc81f255-6435-4330-8c0b-e7fa48f92ca5,8c7a15ec-4fe3-47d1-bc56-45a9056a14e5,266156,Short Term,,,10+ years,Rent,Debt Consolidation,17235.47,11,,13,0,211717,325996,0,0
4cf46f12-c260-49cf-9631-062c74eba05f,1b602f66-f4c5-4c32-9b89-60d9c3ceeec9,134068,Short Term,740,675450,2 years,Rent,Debt Consolidation,12889.79,19.6,7,10,0,102049,384890,0,0
236cb6da-6976-427e-92a8-84a42c520cf0,6c1cbce2-dd94-4de5-b8dc-94775c58ca85,664224,Long Term,714,3824320,1 year,Rent,Debt Consolidation,53221.66,14.4,17,14,0,68875,188078,0,0
2e5f185d-fee1-4892-a202-5ede8e4b0730,4d914d49-6813-4561-8f49-b8298ded51d6,99999999,Short Term,737,2112572,2 years,Rent,Debt Consolidation,27815.43,17.9,73,6,0,636614,791780,0,0
ab2bcefc-cda9-4d11-b85e-3d57f32d44f0,075c6b58-4833-4cba-a410-7cde727a8eac,445324,Long Term,704,1124952,10+ years,Home Mortgage,Debt Consolidation,18252.16,14.6,,8,0,93024,238260,0,0
37697a32-184f-4c2c-9b9a-02010805c4cf,ab2e62f5-cdde-4939-a971-7e334e0ab26c,328548,Long Term,704,1172813,8 years,Home Mortgage,Debt Consolidation,16028.4,13.5,38,7,0,350246,479930,0,0
a5f90a34-37a0-4856-b285-bc055f75f234,ba0c438d-ec75-4122-9a0c-dd535774f8c7,222596,Short Term,743,1422587,2 years,Home Mortgage,Buy House,22879.99,11.7,,7,0,118807,431244,0,0
22a07102-b6c3-461d-80b3-c9d746679c0f,a88b46ff-9b8c-40df-bf6d-59fdbd78f926,773124,Long Term,726,1935340,10+ years,Home Mortgage,Debt Consolidation,46125.54,18.4,,21,0,516154,1169586,0,0
